Site,SiteCode,Area,AreaCode,Port,SiteLatitude,SiteLongitude
Cape Lookout,LOOK,Cape Lookout,LKOUT,Pacific City,45.33673,-123.98
Pacific City,PACC,Cape Lookout,LKOUT,Pacific City,45.21247,-123.985186
Cape Foulweather,FOUL,Cape Foulweather,FOULW,Depoe Bay,44.7844682,-124.0742001
Otter Rock,OTRK,Cape Foulweather,FOULW,Depoe Bay,44.74663003,-124.0725912
Gregory Point,GREG,Cape Arago,ARAGO,Coos Bay,43.339313,-124.378642
Simpson Reef,SIMP,Cape Arago,ARAGO,Coos Bay,43.31574013,-124.4044225
Drake Point,DRAK,Cape Arago,ARAGO,Coos Bay,43.30083932,-124.4007204
Blanco Reef,BLCO,Cape Blanco,BLANC,Port Orford,42.831791,-124.581814
Orford Reef,ORRF,Cape Blanco,BLANC,Port Orford,42.78849071,-124.5953684
Port Orford Heads,ORFH,Cape Blanco,BLANC,Port Orford,42.73575941,-124.5077475
Redfish Rocks,RFSH,Redfish Rocks,RFISH,Port Orford,42.70231218,-124.4692798
Humbug,HMBG,Redfish Rocks,RFISH,Port Orford,42.66761529,-124.4408763
Rogue Reef,ROGU,Rogue Reef,ROGUE,Gold Beach,42.44372583,-124.4683823
Harris Beach,HARB,Brookings,BROOK,Brookings,42.065901,-124.31788
Chetco Point,CHET,Brookings,BROOK,Brookings,42.042227,-124.292404
