,Site,SiteCode,Area,AreaCode,Port,SiteLatitude,SiteLongitude,purchin_mean,purchin_med,rurchin_mean,rurchin_med,urchin_mean,urchin_med,bull_mean,bull_med,nonbull_mean,nonbull_med,kelp_mean,kelp_med,ntrans
1,Cape Lookout,LOOK,Cape Lookout,LKOUT,Pacific City,45.33673,-123.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Pacific City,PACC,Cape Lookout,LKOUT,Pacific City,45.21247,-123.985186,7.958750612,4.458333334,2.267747389,2.167970139,10.226498,6.360430457,0.065277778,0.008333333,0.0375,0,0.102777778,0.008333333,12
3,Cape Foulweather,FOUL,Cape Foulweather,FOULW,Depoe Bay,44.7844682,-124.0742001,1.430040107,0.683333334,2.166256239,1.962666667,3.596296346,3,2.203212121,0.525,0.154545455,0,2.357757576,0.525,22
4,Otter Rock,OTRK,Cape Foulweather,FOULW,Depoe Bay,44.74663003,-124.0725912,1.556571225,0.208333334,0.60873718,0.2,2.165308405,0.425,0.533884615,0.008333333,1.653346154,0.175,2.187230769,0.275,27
5,Gregory Point,GREG,Cape Arago,ARAGO,Coos Bay,43.339313,-124.378642,17.25416667,10.05,1.458333333,1.425,18.7125,11.475,0.0375,0,0.004166667,0,0.041666667,0,4
6,Simpson Reef,SIMP,Cape Arago,ARAGO,Coos Bay,43.31574013,-124.4044225,12.46875,5.858333334,1.253693759,1.260291696,13.72244376,6.95,1.223958334,0,1.86875,0,3.092708333,0,16
7,Drake Point,DRAK,Cape Arago,ARAGO,Coos Bay,43.30083932,-124.4007204,2.520207571,0.475,1.350892857,1.275,3.871100428,2.458333333,0.881500511,0.558333333,4.695238095,0.25,5.576738606,1.614665097,14
8,Blanco Reef,BLCO,Cape Blanco,BLANC,Port Orford,42.831791,-124.581814,4.843370135,5,0.683198448,0.483333334,5.526568583,5.591666667,0.128125,0.058333333,2.026665823,1.436382979,2.154790823,1.528049645,16
9,Orford Reef,ORRF,Cape Blanco,BLANC,Port Orford,42.78849071,-124.5953684,12.62746431,10.88286714,2.578981628,2.222826087,15.20644594,12.79889228,0.062820513,0.016666667,0.256196581,0.125,0.319017094,0.15,26
10,Port Orford Heads,ORFH,Cape Blanco,BLANC,Port Orford,42.73575941,-124.5077475,9.356565911,6.65,1.209750298,1.179166667,10.56631621,7.656410256,0,0,0,0,0,0,26
11,Redfish Rocks,RFSH,Redfish Rocks,RFISH,Port Orford,42.70231218,-124.4692798,9.311012595,4.633333333,2.325025583,1.923076923,11.63603818,7.316666667,0.038596491,0,0,0,0.038596491,0,19
12,Humbug,HMBG,Redfish Rocks,RFISH,Port Orford,42.66761529,-124.4408763,23.09703289,19.75,2.06130649,1.40131579,25.15833938,21.40833333,0.072222222,0,0.011111111,0,0.083333333,0,12
13,Rogue Reef,ROGU,Rogue Reef,ROGUE,Gold Beach,42.44372583,-124.4683823,2.593200761,2.043831169,0.570013824,0.358333334,3.163214586,2.722089314,1.352810416,0.641666667,1.191732863,0.433333333,2.544543279,1.017997199,14
14,Harris Beach,HARB,Brookings,BROOK,Brookings,42.065901,-124.31788,19.8025641,17,0.808340933,0.891666667,20.61090504,17.55,0.005555556,0,0.016666667,0.008333333,0.022222222,0.016666667,6
15,Chetco Point,CHET,Brookings,BROOK,Brookings,42.042227,-124.292404,8.135580828,8.6,0.673083208,0.5,8.808664036,9.225,0,0,0,0,0,0,12
