"","X","TransectDateID","Group_Project","CollectionMethod","Site","SiteCode","SiteLatitude","SiteLongitude","Area","AreaCode","Port","ReserveType","CullingTreatment","OriginalSubSite","SubSiteLatitude","SubSiteLongitude","SurveyLatitude","SurveyLongitude","Date","Year","Month","Day","Transect","Depth_ft","Direction_Degrees","SurveyWidth_m","SurveyLength_m","SurveyArea_m2","ORKA_SpeciesCode","Species","CommonName","Taxon","FunctionalGroup","PercentCover","Count","Density_m2"
"1",961,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"ANEMON","Anemone","Anemone","Anemone","Other sessile invertebrate",NA,0,0
"2",962,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"BIVALV","Bivalve","Bivalve","Bivalve","Other sessile invertebrate",NA,0,0
"3",963,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"CRYSTE","Cryptochiton stelleri","Gumboot Chiton","Other invertebrate","Other sessile invertebrate",NA,0,0
"4",964,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"ECHINO","Other echinoderms","Other echinoderms","Other echinoderms","Other sessile invertebrate",NA,10,0.166666667
"5",965,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"EGRMEN","Egregia menzisii","Feather Boa kelp","Kelp","Subcanopy kelp",NA,0,0
"6",966,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"HALKAM","Haliotis kamtschatkana","Pinto abalone","Abalone","Abalone",NA,0,0
"7",967,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"HALRUF","Haliotis rufescens","Red abalone","Abalone","Abalone",NA,0,0
"8",968,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"HALWAL","Haliotis walallensis","Flat abalone","Abalone","Abalone",NA,0,0
"9",969,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"LAMSET","Laminaria setchellii","Split kelp, torn kelp, torn blade kelp","Kelp","Subcanopy kelp",NA,0,0
"10",970,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"MACPYR","Macrocystis pyrifera","Giant kelp","Kelp","Canopy kelp",NA,0,0
"11",971,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"MESFRA","Mesocentrotus franciscanus","Red urchin","Sea Urchin","Red urchin",NA,37,0.616666667
"12",972,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"NERLUE","Nereocystis luetkeana","Bull kelp","Kelp","Canopy kelp",NA,0,0
"13",973,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"OTHBRN","Other brown algae","Other brown algae","Other Brown Algae","Subcanopy kelp",NA,0,0
"14",974,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"OTHFSH","Other fish","Other fish","Fish","Predatory fish",NA,0,0
"15",975,"ReefCheck_Transect_Pacific City South_1_2023-07-29","ReefCheck_Transect","Transect","Pacific City","PACS",45.21237,-123.985,"Cascade Head","CASCD","Pacific City","","Unculled","Pacific City South",45.21028,-123.987107,45.212367,-123.984928,2023-07-29,2023,7,29,"1",31.97169811,NA,2,30,60,"OTHINV","Other invertebrate","Other invertebrate","Other invertebrate","Other sessile invertebrate",NA,0,0
